value	quote_count	file_key	quote_keys
अ	4417	a	
आ	1597	A	
इ	516	i	
ई	57	I	
उ	1064	u	
ऊ	48	U	
ऋ	67	R	
ए	833	e	
ऐ	34	ai	
ओ	16	o	
औ	29	au	
क	2570	ka	
ख	52	kha	
ग	290	ga	
घ	33	gha	
च	190	cha	
छ	20	Cha	
ज	224	ja	
झ	3	jha	jhagitijag, jhamajjham, jhamjhAmil
ट	3	Ta	TapaxeviTa, TiDDhAmamd, TiDhAmamdv
ड	2	Da	DAkimyAmRk, Dimbhomamd
ढ	1	Dha	DhakAmAhat
ण	1	Na	meramAviti
त	486	ta	
द	553	da	
ध	168	dha	
न	767	na	
प	829	pa	
फ	11	pha	
ब	165	ba	
भ	287	bha	
म	575	ma	
य	678	ya	
र	295	ra	
ल	160	la	
व	749	va	
श	376	sha	
ष	5	Sha	
स	1137	sa	
ह	190	ha	
