value	quote_count	file_key	quote_keys
UNKNOWN	1191		
अनुष्टुप्	7205		
अपरवक्त्रा	5		
अश्वधाटी	4	ashvadhATI	ATIkasemga, AshAbharem, bAlIyutash, rAmArchitA
आख्यानिकी	70		
आर्द्रा	40		
आर्या	1347		
आर्यागीति	12		
इन्दुमा	1	indumA	mahAgajAmAmguru
इन्द्रवंशा	1	indravaMshA	mAtrAsamam
इन्द्रवज्रा	205		
उद्गता	1	udgatA	athavAsava
उद्गीति	58		
उपगीति	112		
उपजाति	305		
उपेन्द्रवज्रा	60		
ऋद्धिः	33		
औपच्छन्दसिकम्	101		
कलिला	1	kalilA	atisajamad
कीर्तिः	80		
कुमारी	6		
कुररीरुता	1	kurarIrutA	amatichiro
कोकिलकम्	4	kokilakam	amalamRmAl, amukRtagam, itisasharI, tarumatamA
गीति	289		
जलधरमाला	1	jaladharamAlA	kIdRksemAb
जलोद्धतगति	1	jaloddhatagati	karAmbujas
जाया	46		
तोटकम्	22		
दोधक	9		
द्रुतविलम्बितम्	210		
द्विमिला	1	dvimilA	mamimAvala
नन्दिनी	2	nandinI	amuyAtikAm, atimamdach
पञ्चचामरम्	7		
पणव	1	paNava	asmimstesh
परिमितविजया	1	parimitavijayA	karajapada
पुष्टिदा	1	puShTidA	damtImdrad
पुष्पिताग्रा	182		
पृथ्वी	157		
प्रमाणिका	3	pramANikA	dhamasyaya, yadAmatoya, yashaHpaTo
प्रमिताक्षरा	72		
प्रहर्षिणी	71		
प्रेमा	37		
बाला	58		
बुद्धिः	34		
भुजङ्गप्रयातम्	22		
मञ्जुभाषिणी	28		
मत्ता	1	mattA	deshedeshejaDim
मनहासा	1	manahAsA	itastatovA
मन्दाक्रान्ता	332		
माया	44		
मालती	1	mAlatI	ayivijahIh
माला	46		
मालिनी	356		
मोटनकम्	1	moTanakam	eShombudam
रथोद्धता	188		
रमणा	9		
रामा	33		
रुचिरा	23		
लीलालेखः	1	lIlAlekhaH	mAkAmtepax
वंशपत्रपतितम्	1	vaMshapatrapatitam	eShagajodr
वंशस्थ	308		
वसन्ततिलका	1216		
वाणी	66		
वासन्तिका	1	vAsantikA	uddhUyadhU
विद्युन्माला	2	vidyunmAlA	AmAyAmAmAh, amAyAmAmAh
विपरीताख्यानिकी	58		
वियोगिनी	136		
वैधात्री	7		
वैश्वदेवी	1	vaishvadevI	kAvyegAmdh
शङ्खचूडा	1	shankhachUDA	mimaprades
शार्दूलविक्रीडितम्	2723		
शाला	54		
शालिनी	94		
शिखरिणी	680		
शिशिरा	7		
शीलातुरा	4	shIlAturA	asauhirAmA, idamsharIr, payodharAk, prakIrmake
समुद्रकान्ता	1	samudrakAntA	ratmAmivib
सहजा	2	sahajA	ayimamatha, ayimamathachUta
सौरभेयी	2	saurabheyI	AshliShyav, seyamAmgeS
स्रग्धरा	517		
स्रग्विणी	2	sragviNI	amgamAmamg, chitabhUvi
स्वागता	252		
हरिणी	190		
