value	quote_count	file_key	quote_keys
Copper plate, Srirangam	1	Copper_plate_Srirangam	yAdyUtakel
अच्चान्दीक्षितः	1	achchAndIxitaH	kAmchitkAm
अथर्वपरिशिष्टम्	1	atharvaparishiShTam	ghmamtidai
अथर्ववेदः	1	atharvavedaH	mAbhrAtAbh
अनन्तभट्टः	1	anantabhaTTaH	umIladambu
अमोघः	3	amoghaH	ahorasikat, hIyatehisa, smRtImAmvi
अरविन्द-तिवारी	1	aravinda-tivArI	devabhAShA
अलङ्कारकौस्तुभे	1	alankArakaustubhe	rasesArash
अश्वघोषः	1	ashvaghoShaH	hasadbhiry
अश्वघोषः - सौन्दरनन्दम्	2	ashvaghoShaH_-_saundaranandam	ityeShAvyu, prAyemAlok
आनन्दवर्धनः - ध्वन्यालोकः	1	AnandavardhanaH_-_dhvanyAlokaH	samdhisamd
आर्यासप्तशती	1	AryAsaptashatI	ativatsalA
उत्तररामचरितम्	2	uttararAmacharitam	amtaHkaram, priyaprAyA
उदयनः	1	udayanaH	mAsyashlAg
उदयनः - लक्षणावली	1	udayanaH_-_laxaNAvalI	pramamyapA
उद्दण्डशास्त्री	1	uddaNDashAstrI	mAgAHpraty
उपदेशपञ्चकम्	1	upadeshapanchakam	xudvyAdhis
ऋग्वेदः	1	RgvedaH	mAtArudrAm
कठोपनिषत्	2	kaThopaniShat	AtmAmamrat, amyaChreyo
कणिङ्को भारद्वाजः	1	kaNinko_bhAradvAjaH	gRdhradRSh
कर्णा - भासः‌ कर्णभारम्	1	karNA_-_bhAsaH_karNabhAram	sUtovAsUta
कलिङ्गः	1	kalingaH	yathAhambh
कलिविडम्बनम्	1	kaliviDambanam	mabhetavya
काञ्चीपुर-पञ्चाक्षर-योगी	2	kAnchIpura-panchAxara-yogI	lokebhrAma, paxadvamdv
कात्यायनः	1	kAtyAyanaH	yamAmAtams
कामसूत्रम्	1	kAmasUtram	mAtyamtams
कालिदासः	10		
कालिदासः - अभिज्ञानशाकुन्तलम्	2	kAlidAsaH_-_abhijnAnashAkuntalam	asamshayam, prAmAmAmam
कालिदासः - कुमारसम्भवम्	1	kAlidAsaH_-_kumArasambhavam	dvayamgata
कालिदासः - मालवीकाग्निमित्रम्	1	kAlidAsaH_-_mAlavIkAgnimitram	purAmamity
कालिदासः - मेघदूतम्	1	kAlidAsaH_-_meghadUtam	bharturmit
कालिदासः - रघुवंशम्	1	kAlidAsaH_-_raghuvaMsham	tAmabhyaga
काव्यकण्ठ-गणपतिः	1	kAvyakaNTha-gaNapatiH	prItimdadA
काव्यकण्ठ-गणपतिमुनिः	1	kAvyakaNTha-gaNapatimuniH	kulImaHxud
किरातार्जुनीयम्	1	kirAtArjunIyam	tathApijih
कुन्तकः - वक्रोक्तिजीवितम्	1	kuntakaH_-_vakroktijIvitam	kaTukauSha
कुमारीलभट्टः	1	kumArIlabhaTTaH	sUtreShvev
कुलकरणि-नीलकण्ठः - मुक्तकम्	1	kulakaraNi-nIlakaNThaH_-_muktakam	dharmayajm
कुलार्णवतन्त्रम्	1	kulArNavatantram	sumukhaHsu
कुशाग्रः - मुक्तकम्	6		
