value	quote_count	file_key	quote_keys
*	13312	NO_FILE_TOTAL	
Middle management	1	Middle_management	
wabi	1	wabi	
अकबरः	4	akabaraH	
अकारः	1	akAraH	
अकौशलम्	1	akaushalam	
अग्निः	5	agniH	
अग्निहोत्रम्	4	agnihotram	
अङ्गीकृतकारी	1	angIkRtakArI	
अङ्गुल्यः	2	angulyaH	
अजः	1	ajaH	
अज्ञानम्	1	ajnAnam	
अतिथिः	2	atithiH	
अतिभोजनम्	1	atibhojanam	
अतिशयः	1	atishayaH	
अथः	1	athaH	
अदीनता	3	adInatA	
अदैन्यम्	2	adainyam	
अद्भुतम्	1	adbhutam	
अद्वैतम्	2	advaitam	
अधरः	18	adharaH	
अधर्मः	5	adharmaH	
अधर्मफलम्	1	adharmaphalam	
अधिकारः	3	adhikAraH	
अधृतिः	1	adhRtiH	
अध्ययनम	1	adhyayanama	
अध्ययनम्	5	adhyayanam	
अनङ्गभीमः	1	anangabhImaH	
अनध्यायः	1	anadhyAyaH	
अनहङ्कृतिः	1	anahankRtiH	
अनारम्भः	2	anArambhaH	
अनालस्यम्	1	anAlasyam	
अनाश्रमी	1	anAshramI	
अनित्यता	46	anityatA	
अनिर्वेदः	2	anirvedaH	
अनुकम्पा	2	anukampA	
अनुपजीवी	1	anupajIvI	
अनुष्ठानम्	3	anuShThAnam	
अन्तःपुरवर्गः	1	antaHpuravargaH	
अन्तःसाक्षी	1	antaHsAxI	
अन्तरात्मा	1	antarAtmA	
अन्त्यम्	1	antyam	
अन्नदानम्	2	annadAnam	
अन्नम्	1	annam	
अन्योऽन्ययोग्यता	1	anyo-nyayogyatA	
अपत्यम्	2	apatyam	
अपमानम्	3	apamAnam	
अपरिग्रहः	1	aparigrahaH	
अपवादः	2	apavAdaH	
अपाय-दर्शनम्	1	apAya-darshanam	
अपायः	2	apAyaH	
अपूर्वकथा	1	apUrvakathA	
अपौरुषेयत्वम्	2	apauruSheyatvam	
अप्पय्यः	1	appayyaH	
अप्रमाणिकता	1	apramANikatA	
अप्रयुक्तज्ञानम्	1	aprayuktajnAnam	
अप्रयुक्ता विद्या	1	aprayuktA_vidyA	
अप्ररिग्रहः	1	aprarigrahaH	
अप्रामाणिक-प्रशंसा	1	aprAmANika-prashaMsA	
अबोधनम्	1	abodhanam	
अभक्ष्य-प्रायश्चित्तम्	1	abhaxya-prAyashchittam	
अभाव-वैराग्यम्	6	abhAva-vairAgyam	
अभिनयः	1	abhinayaH	
अभिनिम्रुक्तः	1	abhinimruktaH	
अभिवादनम्	1	abhivAdanam	
अभिषेकः	1	abhiShekaH	
अभिसारिका	19	abhisArikA	
अभिसारिकासञ्चारः	23	abhisArikAsanchAraH	
अभ्यासः	2	abhyAsaH	
अभ्युदितः	1	abhyuditaH	
अमरता	1	amaratA	
अमरसिंहः	1	amarasiMhaH	
अमौनम्	1	amaunam	
अयाचकता	1	ayAchakatA	
अयोग्य-नियोगः	1	ayogya-niyogaH	
अयोध्या	1	ayodhyA	
अरसिकः	1	arasikaH	
अरिपलायनम्	47	aripalAyanam	
अर्चकः	2	archakaH	
अर्जुनः	2	arjunaH	
अर्जुनेन्द्रः	1	arjunendraH	
अर्थ-बोधः	1	artha-bodhaH	
अर्थ-विनियोगः	1	artha-viniyogaH	
अर्थः	10	arthaH	
अर्थज्ञानम्	1	arthajnAnam	
अर्थवादः	1	arthavAdaH	
अर्थावगतिः	1	arthAvagatiH	
अर्धनारीश्वरः	5	ardhanArIshvaraH	
अलङ्कारः	4	alankAraH	
अलोभः	5	alobhaH	
अल्प-शत्रुः	1	alpa-shatruH	
अल्पज्ञः	3	alpajnaH	
अल्पता	1	alpatA	
अल्पभाषिता	1	alpabhAShitA	
अल्पविविदिषा	1	alpavividiShA	
अल्पश्रीः	1	alpashrIH	
अल्पारम्भः	1	alpArambhaH	
अल्पोदयः	1	alpodayaH	
अवकाशः	1	avakAshaH	
